ageband,16-39,16-39,40-69,40-69,70+,70+,total
sex,F,M,F,M,F,M,
registered,5186610,5269330,6004510,6228625,2409430,1994130,27092630
ast,744720,837855,896055,741430,338650,215365,3774075
astadm,24185,26070,35535,21475,14785,8180,130225
astrx,509520,453200,1197350,822265,747085,529415,4258830
bmi,4218520,3288465,5675865,5522535,2312360,1910910,22928655
bmi_stage,255515,146415,844105,646390,399785,316715,2608930
carehome,1775,355,3645,745,360,80,6965
carer,105505,39265,407025,173025,200240,112055,1037115
chd_cov,57950,44120,376165,545045,687530,773495,2484310
ckd15,9315,8140,169980,146840,569040,406435,1309755
ckd35,4180,4375,132550,110055,537270,376195,1164625
ckd_cov,7355,9595,24230,30860,33875,33000,138905
cld,27325,36515,143435,185900,56745,54565,504480
cns_cov,92920,101820,236170,245345,321040,284605,1281895
cov1decl,<8,<8,<8,<8,<8,<8,<8
cov2decl,<8,<8,<8,<8,<8,<8,<8
covadm1,<8,<8,<8,<8,<8,<8,<8
covadm2,<8,<8,<8,<8,<8,<8,<8
covcontra,<8,<8,<8,<8,<8,<8,<8
covrx,913070,510980,3377190,2885785,2088795,1713925,11489745
diab,139985,55885,498345,614685,403695,450240,2162830
dmres,1590,745,9800,10990,11805,12055,46990
domcare,1245,215,3000,500,80,30,5070
eth2001,3647605,3322090,4508280,4376640,1769905,1458925,19083440
eth_norecord,26895,28855,36060,39340,13690,11285,156125
eth_notgiptref,<8,<8,<8,<8,<8,<8,<8
eth_notstated,155295,154325,111350,126225,38500,31130,616830
hhld_imdef,1055,1255,1565,1465,355,280,5975
immdx_cov,22055,24665,78665,88215,64200,65295,343100
immrx,44670,37780,156115,111335,91645,60285,501835
learndis,28395,50200,26105,34430,4350,4790,148270
longres,3070,5555,12375,17050,104835,45850,188730
non_eth2001,1280985,1150495,1909605,1816115,793025,651075,7601300
nonshield,64560,45675,116515,95960,72860,60760,456335
notcarer,251675,170790,287160,248115,148575,106610,1212930
nursehome,295,50,535,80,15,10,980
preg,420870,170,36480,190,165,70,457940
pregdel,520880,500,49215,495,350,160,571600
resp_cov,12970,13980,169260,172850,240045,246060,855165
sev_mental,37850,49365,90295,99930,35720,20460,333615
sev_obesity,24170,7735,71665,34310,19275,9720,166875
shield,179435,98680,491015,418350,437855,487655,2112990
smhres,3520,4360,11965,13195,5370,3385,41795
spln_cov,27165,14560,44420,30010,21170,14650,151975
total_population,5186610,5269330,6004510,6228625,2409430,1994130,27092630
