ageband,sex,carer,rate_per_1000
16-39,F,224484003,18.8
16-39,F,229774002,0.4
16-39,F,266946000,0.0
16-39,F,302767002,0.2
16-39,F,407543004,0.2
16-39,F,413760003,0.0
16-39,F,413761004,0.1
16-39,F,413762006,0.0
16-39,F,413763001,0.0
16-39,F,824401000000105,0.0
16-39,M,224484003,6.7
16-39,M,229774002,0.1
16-39,M,266946000,0.0
16-39,M,302767002,0.1
16-39,M,407543004,0.2
16-39,M,413760003,0.0
16-39,M,413761004,0.0
16-39,M,413762006,0.0
16-39,M,413763001,0.0
16-39,M,824401000000105,0.0
40-69,F,224484003,62.7
40-69,F,229774002,1.1
40-69,F,266946000,0.3
40-69,F,276043007,0.1
40-69,F,302767002,1.2
40-69,F,407543004,0.6
40-69,F,413760003,0.2
40-69,F,413761004,0.2
40-69,F,413763001,0.2
40-69,F,824401000000105,0.3
40-69,M,224484003,25.6
40-69,M,229774002,0.3
40-69,M,266946000,0.1
40-69,M,276046004,0.1
40-69,M,302767002,0.5
40-69,M,407543004,0.4
40-69,M,413760003,0.1
40-69,M,413761004,0.1
40-69,M,413763001,0.1
40-69,M,824401000000105,0.2
70+,F,224484003,73.5
70+,F,229774002,0.5
70+,F,266946000,0.9
70+,F,276043007,0.9
70+,F,302767002,1.7
70+,F,407543004,2.3
70+,F,413760003,0.3
70+,F,413762006,0.1
70+,F,413763001,0.2
70+,F,824401000000105,2.0
70+,M,224484003,49.8
70+,M,229774002,0.3
70+,M,266946000,0.4
70+,M,276046004,0.4
70+,M,302767002,1.4
70+,M,407543004,1.6
70+,M,413760003,0.2
70+,M,413762006,0.1
70+,M,413763001,0.2
70+,M,824401000000105,1.5
