ageband,sex,smhres,rate_per_1000
16-39,F,4926007,0.08
16-39,F,41836007,0.07
16-39,F,85248005,0.39
16-39,F,191588009,0.04
16-39,F,191625000,0.05
16-39,F,191643001,0.08
16-39,F,755301000000102,0.14
16-39,F,755311000000100,0.2
16-39,F,755321000000106,0.12
16-39,F,755331000000108,0.05
16-39,M,4926007,0.2
16-39,M,63181006,0.12
16-39,M,85248005,0.21
16-39,M,191574005,0.05
16-39,M,191588009,0.04
16-39,M,191643001,0.05
16-39,M,755301000000102,0.31
16-39,M,755311000000100,0.33
16-39,M,755321000000106,0.1
16-39,M,755331000000108,0.05
40-69,F,4926007,0.43
40-69,F,41836007,0.16
40-69,F,63181006,0.19
40-69,F,85248005,0.94
40-69,F,191574005,0.14
40-69,F,191643001,0.21
40-69,F,755301000000102,0.5
40-69,F,755311000000100,0.44
40-69,F,755321000000106,0.32
40-69,F,755331000000108,0.21
40-69,M,4926007,0.71
40-69,M,63181006,0.35
40-69,M,85248005,0.63
40-69,M,191574005,0.17
40-69,M,191588009,0.11
40-69,M,191643001,0.14
40-69,M,755301000000102,0.76
40-69,M,755311000000100,0.48
40-69,M,755321000000106,0.27
40-69,M,755331000000108,0.16
70+,F,4926007,0.66
70+,F,63181006,0.23
70+,F,85248005,0.75
70+,F,191574005,0.16
70+,F,191588009,0.17
70+,F,191643001,0.21
70+,F,755301000000102,0.67
70+,F,755311000000100,0.48
70+,F,755321000000106,0.38
70+,F,755331000000108,0.26
70+,M,4926007,0.63
70+,M,63181006,0.19
70+,M,85248005,0.56
70+,M,191574005,0.12
70+,M,191588009,0.13
70+,M,191643001,0.15
70+,M,755301000000102,0.46
70+,M,755311000000100,0.32
70+,M,755321000000106,0.26
70+,M,755331000000108,0.17
