ageband,sex,notcarer,rate_per_1000
16-39,F,199361000000101,2.8
16-39,F,506401000000109,14.0
16-39,M,199361000000101,1.8
16-39,M,506401000000109,9.8
40-69,F,199361000000101,8.4
40-69,F,506401000000109,11.0
40-69,F,933581000000105,0.0
40-69,M,199361000000101,4.0
40-69,M,506401000000109,10.3
40-69,M,933581000000105,0.0
70+,F,199361000000101,20.8
70+,F,506401000000109,12.7
70+,F,933581000000105,0.1
70+,M,199361000000101,11.5
70+,M,506401000000109,12.0
70+,M,933581000000105,0.1
