ageband,sex,smhres,rate_per_1000
16-39,F,4926007,0.07
16-39,F,41836007,0.04
16-39,F,63181006,0.02
16-39,F,85248005,0.21
16-39,F,191588009,0.03
16-39,F,191634005,0.02
16-39,F,755301000000102,0.05
16-39,F,755311000000100,0.11
16-39,F,755321000000106,0.05
16-39,F,755331000000108,0.03
16-39,M,4926007,0.17
16-39,M,41836007,0.03
16-39,M,63181006,0.06
16-39,M,85248005,0.12
16-39,M,191574005,0.01
16-39,M,191588009,0.03
16-39,M,755301000000102,0.11
16-39,M,755311000000100,0.18
16-39,M,755321000000106,0.05
16-39,M,755331000000108,0.03
40-69,F,4926007,0.35
40-69,F,41836007,0.11
40-69,F,63181006,0.09
40-69,F,85248005,0.53
40-69,F,191588009,0.08
40-69,F,191643001,0.05
40-69,F,755301000000102,0.14
40-69,F,755311000000100,0.25
40-69,F,755321000000106,0.13
40-69,F,755331000000108,0.12
40-69,M,4926007,0.58
40-69,M,41836007,0.07
40-69,M,63181006,0.17
40-69,M,85248005,0.35
40-69,M,191574005,0.05
40-69,M,191588009,0.07
40-69,M,755301000000102,0.24
40-69,M,755311000000100,0.27
40-69,M,755321000000106,0.1
40-69,M,755331000000108,0.09
70+,F,4926007,0.49
70+,F,41836007,0.09
70+,F,63181006,0.12
70+,F,85248005,0.44
70+,F,191574005,0.05
70+,F,191588009,0.1
70+,F,755301000000102,0.23
70+,F,755311000000100,0.27
70+,F,755321000000106,0.17
70+,F,755331000000108,0.13
70+,M,4926007,0.45
70+,M,41836007,0.07
70+,M,63181006,0.09
70+,M,85248005,0.32
70+,M,191574005,0.05
70+,M,191588009,0.09
70+,M,755301000000102,0.16
70+,M,755311000000100,0.17
70+,M,755321000000106,0.11
70+,M,755331000000108,0.07
