ageband,sex,pregdel,rate_per_1000
16-39,F,11466000,2.0
16-39,F,11687002,2.1
16-39,F,17369002,2.6
16-39,F,48782003,4.6
16-39,F,77386006,26.4
16-39,F,156073000,2.0
16-39,F,169826009,7.6
16-39,F,177141003,2.0
16-39,F,274130007,2.1
16-39,F,309469004,7.8
16-39,M,44979007,0.0
16-39,M,48782003,0.0
16-39,M,51885006,0.0
16-39,M,77386006,0.0
16-39,M,169548007,0.0
16-39,M,169565003,0.0
16-39,M,249098007,0.1
16-39,M,268475008,0.0
40-69,F,11466000,0.2
40-69,F,11687002,0.3
40-69,F,17369002,0.4
40-69,F,48782003,0.2
40-69,F,77386006,1.2
40-69,F,156073000,0.3
40-69,F,169826009,0.4
40-69,F,177141003,0.2
40-69,F,249098007,0.2
40-69,F,309469004,0.3
40-69,M,11687002,0.0
40-69,M,51885006,0.0
40-69,M,77386006,0.0
40-69,M,169228004,0.0
40-69,M,169548007,0.0
40-69,M,169565003,0.0
40-69,M,248985009,0.0
40-69,M,249098007,0.2
40-69,M,268475008,0.0
40-69,M,307534009,0.0
70+,F,48782003,0.0
70+,F,77386006,0.0
70+,F,169228004,0.0
70+,F,169565003,0.0
70+,F,169620001,0.0
70+,F,173300003,0.0
70+,F,237324001,0.0
70+,F,249098007,0.1
70+,F,268475008,0.0
70+,F,307534009,0.0
70+,M,48782003,0.0
70+,M,51885006,0.0
70+,M,77386006,0.0
70+,M,169228004,0.0
70+,M,169565003,0.0
70+,M,169620001,0.0
70+,M,236973005,0.0
70+,M,249098007,0.1
70+,M,268475008,0.0
70+,M,307534009,0.0
